daq_type,DSI
sample_rate,300
timestamp,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,TRG                       
2.410383427833605,-1101.9000244140625,829.7999877929688,-121.19999694824219,2289.300048828125,-474.0,-2489.699951171875,-2648.39990234375,-3084.300048828125,33789.6015625,4422.0,-6826.7998046875,-4263.2998046875,995.4000244140625,-3621.89990234375,-5678.10009765625,-3310.5,-9.0,0.8999999761581421,-7142.7001953125,-657.0,-14.100000381469727,-2478.300048828125,1946.0999755859375,9166.5,0.0
2.412762107930805,-9031.5,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-8490.0,-7935.0,-7818.89990234375,-29640.0,-9830.400390625,-103.5,-1082.4000244140625,-6247.2001953125,-2812.5,-3081.89990234375,-4610.7001953125,-8.100000381469727,0.8999999761581421,-296.70001220703125,-334.79998779296875,-14.100000381469727,-9830.400390625,-5134.5,-9225.0,0.0
2.4219720749693243,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,12078.2998046875,-5240.7001953125,9830.099609375,9705.0,9830.099609375,9830.099609375,9830.099609375,9830.099609375,-9.0,1.5,9830.099609375,9316.2001953125,-14.100000381469727,-2130.300048828125,9830.099609375,9830.099609375,0.0
2.4355830011789146,-8823.900390625,-8254.5,-8220.2998046875,-8010.89990234375,-8981.400390625,-9235.7998046875,-9141.0,-9273.599609375,-4964.7001953125,9413.7001953125,-9830.400390625,-9830.400390625,-8998.5,-9085.2001953125,-9028.5,-9027.900390625,-8.699999809265137,0.30000001192092896,-9758.400390625,-9830.400390625,-13.800000190734863,9830.099609375,-9745.5,-9051.900390625,0.0
2.4381875195483236,1757.699951171875,2226.0,3440.39990234375,2612.39990234375,2732.10009765625,2668.199951171875,1994.4000244140625,2502.89990234375,-5557.5,9830.099609375,558.0,2154.89990234375,-910.7999877929688,-1748.699951171875,-1295.0999755859375,-1064.4000244140625,-8.399999618530273,0.0,-561.5999755859375,1256.0999755859375,-14.100000381469727,9830.099609375,-543.0,50.70000076293945,0.0
2.4387591726748523,5480.39990234375,5486.10009765625,5127.2998046875,5700.60009765625,5514.60009765625,5353.2001953125,5378.10009765625,5636.7001953125,20970.30078125,2899.199951171875,6729.89990234375,7749.0,5922.89990234375,5950.5,5591.39990234375,6008.39990234375,-9.0,0.8999999761581421,6404.10009765625,9214.5,-14.100000381469727,-2097.0,6599.10009765625,6658.2001953125,0.0
2.439325051527376,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-30232.80078125,-9830.400390625,-9510.0,-9830.400390625,-9088.5,-8465.400390625,-8912.099609375,-9238.2001953125,-8.100000381469727,0.0,-9246.2998046875,-9759.0,-14.100000381469727,-9830.400390625,-8998.7998046875,-9529.2001953125,0.0
2.4398967046539046,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,26305.5,-8839.5,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,-9.0,0.6000000238418579,9830.099609375,9830.099609375,-13.800000190734863,-4569.60009765625,9830.099609375,9830.099609375,0.0
2.4404404487894076,-6261.89990234375,-6304.2001953125,-5688.89990234375,-6295.2001953125,-6202.7998046875,-5753.39990234375,-5961.2998046875,-5080.2001953125,-30529.19921875,7381.2001953125,-5262.0,-6892.2001953125,-7629.89990234375,-6996.60009765625,-6259.2001953125,-6533.7001953125,-8.699999809265137,-0.30000001192092896,-5042.39990234375,-8305.7998046875,-14.100000381469727,9830.099609375,-7705.5,-8637.599609375,0.0
2.4409832305459096,-1504.5,26.700000762939453,732.5999755859375,973.2000122070312,-585.9000244140625,-1853.4000244140625,-2369.39990234375,-3046.199951171875,26305.5,9830.099609375,-7949.39990234375,-5398.7998046875,-2728.800048828125,-5228.10009765625,-5847.2998046875,-4838.7001953125,-8.399999618530273,0.8999999761581421,-8290.7998046875,-4337.7001953125,-14.100000381469727,9830.099609375,-3387.89990234375,267.29998779296875,0.0
2.4415221627864083,8369.099609375,7398.0,7371.0,7162.5,8404.7998046875,9159.599609375,9104.099609375,9791.7001953125,-11189.099609375,4065.89990234375,9830.099609375,9830.099609375,7820.10009765625,9486.900390625,9773.400390625,9666.2998046875,-8.399999618530273,0.6000000238418579,9830.099609375,9830.099609375,-13.800000190734863,-4193.7001953125,9830.099609375,6795.0,0.0
2.442142576448982,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-9830.400390625,-3482.699951171875,-9830.400390625,-6845.7001953125,-6690.0,-6295.2001953125,-3442.5,-6553.5,-7192.7998046875,-8.699999809265137,1.2000000476837158,-7093.5,-5008.2001953125,-13.800000190734863,-9830.400390625,-5430.0,-6267.60009765625,0.0
2.4427068513365042,7458.0,6891.2998046875,4238.39990234375,5403.60009765625,5011.2001953125,4763.10009765625,6482.7001953125,3509.10009765625,10151.7001953125,-9450.599609375,2885.699951171875,-527.0999755859375,9830.099609375,9830.099609375,9830.099609375,9830.099609375,-8.399999618530273,0.6000000238418579,5367.60009765625,-2747.39990234375,-14.100000381469727,-6361.7998046875,9830.099609375,9153.0,0.0
