EEG,Gaze_Individual,Gaze_Centralized
76.09, 100.00, 100.00
86.76, 79.89, 65.48
85.14, 96.30, 95.54
90.41, 98.43, 98.02
71.38, 99.01, 98.96
79.62, 98.43, 97.90
87.05, 99.96, 99.71
85.97, 82.21, 81.20
84.63, 92.34, 92.16
77.31, 97.79, 94.19
81.11, 92.06, 90.20
83.28, 99.77, 99.55
66.62, 95.87, 94.53
76.07, 99.47, 98.74
82.25, 85.35, 80.35
70.28, 75.40, 74.62
81.82, 87.85, 85.45
84.95, 87.36, 82.39
95.00, 99.96, 99.75
84.32, 99.90, 99.29
89.19, 99.50, 99.17
